Colony no:,Trialno:,Ist attack time (sec),subduing time,Ist attack head,Ist attack antenna,Ist attack HL,Ist attack FL,Ist attack Thorax,Ist attack Abdomen,Ist attack wing,0-15 sec after Ist attack - Head,0-15sec after Ist attack antenna,0-15sec after Ist attack  - HL,0-15sec after Ist attack - FL,0-15sec after Ist attack - Thorax,0-15sec after Ist attack  - Abdomen,0-15sec after Ist attack - wing,15-30 sec after Ist attack - Head,15-30 sec  after Ist attack antenna,15-30 sec after Ist attack  - HL,15-30 sec after Ist attack - FL,15-30 sec after Ist attack - Thorax,15-30 sec after Ist attack  - Abdomen,15-30 sec after Ist attack - wing,30-45sec after Ist attack - Head,30-45 secIst attack antenna,30-45 sec after Ist attack  - HL,30-45 sec after Ist attack - FL,30-45 sec after Ist attack - Thorax,30-45 sec after Ist attack  - Abdomen,30-45 sec after Ist attack - wing,45-60 after Ist attack - Head,45-60 after Ist attack antenna,45-60 after Ist attack  - HL,45-60sec after Ist attack - FL,45-60 sec after Ist attack - Thorax,45-60 sec after Ist attack  - Abdomen,45-60 sec after Ist attack - wing,1-1:15 min after Ist attack head,1-1:15 minafter  Ist attack antenna,1-1:15 min after Ist attack HL,1-1:15 min after Ist attack FL,1-1:15 min after Ist attack Thorax,1-1:15 min after Ist attack Abdomen,1-1:15 min after Ist attack wing,1:15-1:30 min after Ist attack head,1:15-1:30 min after  Ist attack antenna,1:15-1:30 min after Ist attack HL,1:15-1:30  min after Ist attack FL,1:15-1:30 min after Ist attack Thorax,1:15-1:30 min after Ist attack Abdomen,1:15-1:30 min after Ist attack wing,1:30-1:45 min  after Ist attack head,1:30-1:45  min after  Ist attack antenna,1:30- 1:45 min after Ist attack HL,1:30- 1:45 min after Ist attack FL,1:30- 1:45 min  after Ist attack Thorax,1:30- 1:45 min  after Ist attack Abdomen,1:30- 1:45 min  after Ist attack wing,1:45-2:00 min after  Ist attack head,1:45-2:00 min after  Ist attack antenna,1:45-2:00 min after Ist attack HL,1:45-2:00 min after Ist attack FL,1:45-2:00 min after Ist attack Thorax,1:45-2:00 min after Ist attack Abdomen,1:45-2:00 min after Ist attack wing,2:00-2:15 min after Ist attack head,2:00-2:15 min min after  Ist attack antenna,2:00-2:15 min  after Ist attack HL,2:00-2:15 min after Ist attack FL,2:00-2:15 min after Ist attack Thorax,2:00-2:15 min after Ist attack Abdomen,2:00-2:15 min after Ist attack wing,2:15-2:30 min after Ist attack head,2:15-2:30 min  after  Ist attack antenna,2:15-2:30 min  after Ist attack HL,2:15-2:30 min  after Ist attack FL,2:15-2:30 min  after Ist attack Thorax,2:15-2:30 min  after Ist attack Abdomen,2:15-2:30 min after Ist attack wing,2:30-2:45 min after Ist attack head,2:30-2:45 min after  Ist attack antenna,2:30-2:45 min after Ist attack HL,2:30-2:45 min after Ist attack FL,2:30-2:45 min after Ist attack Thorax,2:30-2:45 min after Ist attack Abdomen,2:30-2:45 min after Ist attack wing,2:45-3:00 min after Ist attack head,2:45-3:00  min  after  Ist attack antenna,2:45-3:00  min  after Ist attack HL,2:45-3:00  min  after Ist attack FL,2:45-3:00  min  after Ist attack Thorax,2:45-3:00  min  after Ist attack Abdomen,2:45-3:00 min after Ist attack wing
2,11,95,108,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12,2,155,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,13,2,150,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,18,182,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,15,5,88,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,4,120,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,6,191,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,116,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
3,4,75,233,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,5,2,111,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
